,prime,target,target.RT
204,annoying,irritating,814.1935483870968
205,annual,once,678.59375
206,annual,stream,650.5862068965517
207,another,more,594.4285714285714
208,another,silly,589.2903225806451
209,anteater,ant,705.78125
210,anteater,ring,726.9354838709677
211,antelope,awake,661.0909090909091
212,antelope,beast,653.40625
213,antidote,cure,670.5483870967741
214,antidote,dam,949.8125
215,antique,face,609.0645161290323
216,antique,furniture,697.1666666666666
217,antler,excuse,851.7741935483871
218,antler,horn,624.1034482758621
219,antlers,deer,603.1612903225806
220,antlers,disgusting,753.5806451612904
221,anxiety,goo,1210.125
222,anxiety,nervous,707.5151515151515
223,apart,alone,613.5333333333333
224,apart,mix,619.3333333333334
225,apathetic,liar,609.1290322580645
226,apathetic,sympathetic,760.0666666666667
227,apathy,science,654.8125
228,apathy,sympathy,727.9677419354839
229,ape,all,680.5666666666667
230,ape,jungle,612.75
231,apology,mistake,696.71875
232,apology,win,699.28125
233,appeal,crooked,813.9642857142857
234,appeal,looks,577.9677419354839
235,appear,show,582.8064516129032
236,appear,whale,628.7931034482758
237,appearance,line,653.0384615384615
238,appearance,looks,636.1935483870968
239,appendage,finger,688.9354838709677
240,appendage,leg,609.1333333333333
241,apple,exercise,709.1333333333333
242,apple,red,568.8333333333334
243,appliance,bacon,613.0
244,appliance,stove,670.7586206896551
245,application,college,716.7
246,application,mist,716.2758620689655
247,appraise,empty,746.9354838709677
248,appraise,value,681.6666666666666
249,approval,pavement,837.7931034482758
250,approval,yes,554.1935483870968
251,apron,maid,677.3793103448276
252,apron,tense,681.0714285714286
253,architect,building,663.28125
254,architect,eye,565.6
255,arena,football,621.4333333333333
256,arena,hell,604.25
257,argue,disagree,717.5862068965517
258,argue,it,610.483870967742
259,argument,disagreement,752.03125
260,argument,spoiled,673.5862068965517
261,aright,fold,721.1935483870968
262,aright,okay,576.7741935483871
263,armor,chance,606.258064516129
264,armor,knight,567.3870967741935
265,arms,hug,583.09375
266,arms,taste,593.7096774193549
267,army,allow,766.6333333333333
268,army,navy,672.2903225806451
269,aroma,leader,636.2
270,aroma,spaghetti,720.9
271,around,buffalo,724.15625
272,around,world,613.46875
273,arrive,come,609.3870967741935
274,arrive,mail,574.3
275,arrow,bow,643.5
276,arrow,maker,689.3
277,art,cheese,693.125
278,art,paint,721.6875
279,artery,finger,634.5
280,artery,vein,708.5357142857143
281,artist,box,622.53125
282,artist,draw,630.5806451612904
283,arts,crafts,635.21875
284,arts,shot,622.34375
285,ascend,descend,813.5666666666667
286,ascend,tired,684.3225806451613
287,ascent,brush,663.7096774193549
288,ascent,climb,699.78125
289,ash,ashtray,865.9285714285714
290,ash,curtains,706.2903225806451
291,ashamed,fragile,708.8125
292,ashamed,guilt,763.1785714285714
293,ashes,ashtray,815.4137931034483
294,ashes,superior,654.3666666666667
295,asia,minor,646.6206896551724
296,asia,rich,741.7096774193549
297,asleep,awake,593.9032258064516
298,asleep,worm,716.25
299,asphalt,pavement,759.3333333333334
300,asphalt,sister,611.0333333333333
301,aspirin,deodorant,766.1290322580645
302,aspirin,headache,653.75
303,ass,donkey,686.1290322580645
304,ass,thirst,773.1875
305,assault,attack,601.6774193548387
306,assault,example,684.6060606060606
307,assignment,homework,607.5806451612904
308,assignment,pride,653.375
309,assistance,helper,677.6774193548387
310,assistance,piece,696.4285714285714
311,assistant,helper,622.34375
312,assistant,smooth,657.3225806451613
313,associate,loose,632.6333333333333
314,associate,partner,661.15625
315,asteroid,aware,802.7096774193549
316,asteroid,belt,623.516129032258
317,astrology,gross,703.5333333333333
318,astrology,space,706.96875
319,astronaut,climb,717.15625
320,astronaut,space,561.5483870967741
321,athlete,dress,679.1515151515151
322,athlete,muscle,606.5
323,athletic,movie,681.0
324,athletic,sports,639.6451612903226
325,atlas,map,607.6451612903226
326,atlas,take,612.5806451612904
327,atom,neutron,761.1290322580645
328,atom,shy,695.9375
329,atomic,crab,655.96875
330,atomic,explode,811.6206896551724
331,attach,cry,699.2413793103449
332,attach,stick,727.2962962962963
333,attack,ditch,818.3333333333334
334,attack,heart,646.21875
335,attempt,float,785.5806451612904
336,attempt,murder,682.9677419354839
337,attend,apple,664.7333333333333
338,attend,go,662.5625
339,attendance,farm,682.9629629629629
340,attendance,present,617.5333333333333
341,attention,job,591.875
342,attention,span,761.8
343,attic,growth,646.483870967742
344,attic,upstairs,653.6875
345,attire,clothes,580.84375
346,attire,hip,679.3448275862069
347,attitude,conceited,770.0370370370371
348,attitude,smell,605.5862068965517
349,attorney,lawyer,585.5625
350,attorney,walk,669.9032258064516
351,attract,like,582.3333333333334
352,attract,pyramid,722.3125
353,attractive,female,609.21875
354,attractive,parent,615.1818181818181
355,aunt,something,793.1
356,aunt,uncle,644.5806451612904
357,author,novel,624.258064516129
358,author,planet,675.65625
359,authority,print,619.9032258064516
360,authority,rules,626.516129032258
361,autumn,planets,608.8709677419355
362,autumn,spring,617.15625
363,avenue,park,611.3125
364,avenue,think,576.4375
365,average,maker,713.8333333333334
366,award,draw,587.5454545454545
367,award,trophy,714.3548387096774
368,awareness,alert,609.0645161290323
369,awareness,goal,621.9333333333333
370,away,grape,749.59375
371,away,here,630.6451612903226
372,awe,violin,807.5
373,awe,wonder,618.8
374,awesome,circus,632.7333333333333
375,awesome,cool,604.8387096774194
376,awkward,different,637.84375
377,awkward,zit,868.4545454545455
378,ax,daily,629.09375
379,ax,wood,606.5333333333333
380,axon,knit,717.8461538461538
381,axon,neuron,769.2592592592592
382,back,behind,608.09375
383,back,enemy,696.4333333333333
384,backbone,spine,668.71875
385,backbone,thin,682.15625
386,background,past,634.6774193548387
387,background,russia,726.3225806451613
388,backward,movement,717.1935483870968
389,backward,silk,787.3793103448276
390,bacteria,foresight,860.0344827586207
391,bacteria,fungus,763.6428571428571
392,badge,boyfriend,735.53125
393,badge,cop,623.6129032258065
394,bagel,sale,534.1724137931035
395,bagel,shop,598.25
396,baggage,frightened,845.6206896551724
397,baggage,luggage,688.9666666666667
398,bait,care,614.5862068965517
399,bait,worm,735.9677419354839
400,baker,cake,692.9333333333333
401,baker,ending,672.5
402,balcony,ledge,634.7586206896551
403,balcony,storage,633.1612903225806
404,ball,bat,665.09375
405,ball,glory,669.6451612903226
406,ballet,dance,570.1666666666666
407,ballet,defeat,851.8709677419355
408,balloon,clown,634.8484848484849
409,balloon,legend,612.516129032258
410,ballot,biology,703.3548387096774
411,ballot,elect,566.9655172413793
412,ban,deodorant,877.9285714285714
413,ban,italian,730.3
414,banana,fruit,701.8387096774194
415,banana,she,656.4193548387096
416,band,argument,700.9375
417,band,play,675.4375
418,bandaid,cut,688.96875
419,bandaid,honest,641.030303030303
420,bandanna,feel,592.4333333333333
421,bandanna,hat,627.4516129032259
422,banjo,guitar,701.55
423,bank,lock,736.0645161290323
424,bank,vault,913.0357142857144
425,banker,bank,611.875
426,banker,england,650.8709677419355
427,banquet,eat,692.9032258064516
428,banquet,less,627.8387096774194
429,bar,grill,653.0
430,bar,hunter,627.8125
431,barbecue,personality,738.1935483870968
432,barbecue,ribs,660.0
433,bargain,sale,579.258064516129
434,bargain,yell,770.65625
435,barrel,meat,627.5483870967741
436,barrel,pickles,705.741935483871
437,barrier,ice,597.28125
438,barrier,reef,746.6129032258065
439,bartender,alcohol,690.741935483871
440,bartender,tongue,709.7741935483871
441,base,guitar,666.40625
442,base,hole,689.8387096774194
443,baseball,basketball,768.2666666666667
444,baseball,hint,811.8709677419355
445,basement,attic,641.34375
446,basement,tile,779.40625
447,bashful,marker,751.2
448,bashful,shy,587.6774193548387
449,basket,driver,656.5
450,basket,weave,614.6774193548387
451,bat,gander,1004.0
452,bat,night,665.0625
453,bath,flag,691.8387096774194
454,bath,towel,596.0
455,bathroom,bedroom,709.5625
456,bathroom,thread,661.6774193548387
457,bathtub,monthly,692.2413793103449
458,bathtub,shower,692.8
459,bay,graduation,752.78125
460,bay,water,693.9677419354839
461,be,am,745.1379310344828
462,be,ten,697.2
463,bead,necklace,640.5
464,beam,say,644.4516129032259
465,beam,smile,556.71875
466,bean,green,587.9375
467,bean,layer,728.9583333333334
468,beans,eleven,701.8709677419355
469,beans,rice,595.46875
470,beard,arrow,636.9354838709677
471,beard,mustache,669.0
472,beast,animal,699.53125
473,beast,cactus,777.9629629629629
474,beat,jacket,653.8125
475,beat,pound,690.7096774193549
476,beautiful,pretty,591.7272727272727
477,beautiful,still,618.0909090909091
478,beauty,beast,656.4137931034483
479,beauty,me,622.8709677419355
480,beaver,dam,889.2307692307693
481,beaver,rain,573.71875
482,because,sugar,620.4516129032259
483,because,why,627.46875
484,become,am,722.375
485,become,search,679.0
486,bedroom,airplane,663.8125
487,bedroom,bathroom,619.625
488,bee,castle,741.6774193548387
489,bee,sting,701.8064516129032
490,beef,bug,692.9677419354839
491,beef,cow,683.5806451612904
492,beetle,juice,563.1935483870968
493,beetle,pie,624.1379310344828
494,before,after,619.5757575757576
495,before,new,593.0645161290323
496,beg,low,619.6451612903226
497,beg,plead,691.5384615384615
498,beggar,plead,787.3214285714286
499,beggar,polish,708.2727272727273
500,beginner,dull,795.483870967742
501,beginner,novice,702.0357142857143
502,behavior,bravery,765.9333333333333
503,behavior,strange,670.9354838709677
504,being,human,597.1875
505,being,seatbelt,759.4333333333333
506,belief,lie,588.8709677419355
507,belief,low,619.1785714285714
508,believe,faith,608.0666666666667
509,believe,mile,722.0
510,bell,army,647.8387096774194
511,bell,liberty,632.258064516129
512,belly,drop,600.1612903225806
513,belly,scratch,699.0
514,belong,bride,697.9677419354839
515,belong,mine,613.46875
516,below,above,703.5666666666667
517,below,road,685.6774193548387
518,belt,deodorant,837.3548387096774
519,belt,strap,673.0357142857143
520,bend,backward,667.5483870967741
521,bend,telephone,670.9032258064516
522,beneath,grave,658.2
523,beneath,under,694.8387096774194
524,benefit,help,622.6451612903226
525,benefit,idea,612.9090909090909
526,bent,belt,598.0333333333333
527,bent,crooked,678.9310344827586
528,best,cake,655.5625
529,best,worst,658.1935483870968
530,bet,door,641.84375
531,bet,gamble,677.8
532,betray,cheat,618.6451612903226
533,betray,owner,662.5483870967741
534,beware,fright,763.2
535,beware,sit,769.2758620689655
536,beyond,after,630.516129032258
537,beyond,pride,633.03125
538,bias,never,796.8333333333334
539,bias,race,692.6129032258065
540,bible,holy,587.6774193548387
541,bible,yell,711.1666666666666
542,big,grand,687.875
543,big,ready,571.0
544,bike,ride,621.9354838709677
545,bike,senate,806.4444444444445
546,billboard,pudding,808.7
547,billboard,sign,598.2258064516129
548,binder,do,678.8
549,binder,folder,680.3333333333334
550,biology,frog,666.9354838709677
551,biology,she,616.9310344827586
552,birds,cats,608.030303030303
553,birds,nurse,655.125
554,birth,beginning,757.0
555,birth,ten,581.21875
556,birthday,candle,629.3125
557,birthday,hill,670.4
558,bison,buffalo,673.5
559,bison,year,629.03125
560,bit,bite,780.3333333333334
561,bit,octopus,757.1333333333333
562,blackboard,chalk,675.3103448275862
563,blackboard,stair,752.0645161290323
564,blade,iron,690.5
565,blade,knife,594.8787878787879
566,blame,accuse,710.9642857142857
567,blame,private,712.3214285714286
568,blanket,warm,561.4545454545455
569,blanket,why,646.5862068965517
570,bleach,white,526.1290322580645
571,blend,ashtray,965.0384615384615
572,blend,mix,598.6896551724138
573,blender,ice,586.8709677419355
574,blender,patience,688.7931034482758
575,bless,want,571.75
576,bless,you,656.21875
577,blinds,curtains,669.8387096774194
578,blinds,kind,707.6451612903226
579,block,against,735.1612903225806
580,block,brick,841.2903225806451
581,blocks,cave,625.75
582,blocks,children,621.4827586206897
583,blood,rules,622.0909090909091
584,blood,vein,708.6785714285714
585,bloom,fungus,730.0416666666666
586,bloom,rose,605.1818181818181
587,blot,earth,603.4545454545455
588,blot,smudge,734.7037037037037
589,blouse,hair,623.516129032258
590,blouse,shirt,652.59375
591,blubber,empty,746.1290322580645
592,blubber,whale,654.258064516129
593,blueberry,pie,642.125
594,blueberry,thief,641.5666666666667
595,blues,brothers,654.1290322580645
596,blues,proof,716.258064516129
597,bluff,cliff,650.0967741935484
598,bluff,keeper,717.6551724137931
599,blunt,rude,683.125
600,blunt,suffocate,800.8275862068965
601,blur,dime,643.0714285714286
602,blur,vision,622.03125
603,board,chalk,719.3793103448276
604,board,person,608.0625
605,bog,hog,744.8148148148148
606,bog,wife,615.1
607,boil,happy,544.9375
608,boil,pot,592.71875
609,boiled,eggs,553.40625
610,boiled,pick,554.5172413793103
611,bold,daring,709.9375
612,bold,note,680.8571428571429
613,bologna,meat,690.6451612903226
614,bologna,tea,779.0322580645161
615,bolt,close,609.3333333333334
616,bolt,material,661.78125
617,bondage,slave,633.90625
618,bondage,usa,733.1481481481482
619,bone,chicken,606.90625
620,bone,shampoo,646.2666666666667
621,book,oyster,752.32
622,book,read,672.9677419354839
623,bookbag,people,632.3225806451613
624,bookbag,purse,643.8709677419355
625,boot,camp,570.5483870967741
626,boot,habit,676.6333333333333
627,booth,smash,679.03125
628,booth,telephone,649.75
629,boots,itch,727.8709677419355
630,boots,leather,580.6785714285714
631,border,dollars,651.5
632,border,line,683.125
633,boring,cause,692.09375
634,boring,dull,646.5862068965517
635,borrow,ending,658.3225806451613
636,borrow,lend,630.5483870967741
637,boss,employer,796.741935483871
638,boss,environment,811.1612903225806
639,bottle,booze,667.0714285714286
640,bottle,zoo,663.9333333333333
641,bottom,floor,754.125
642,bottom,park,620.2333333333333
643,bouillon,shark,642.15625
644,bouillon,square,826.1333333333333
645,boulevard,heat,650.78125
646,boulevard,street,739.9655172413793
647,bound,reel,848.5217391304348
648,bound,tie,615.4137931034483
649,boundary,fence,702.9655172413793
650,boundary,flute,755.5555555555555
651,bounty,future,770.84375
652,bounty,hunter,678.4666666666667
653,bouquet,flowers,582.1290322580645
654,bouquet,fraternity,848.258064516129
655,bow,arrow,618.375
656,bow,church,633.03125
657,bowl,plate,663.6363636363636
658,bowl,protect,774.6666666666666
659,bowling,ball,629.71875
660,bowling,flowers,690.8709677419355
661,box,honesty,582.8125
662,box,shoe,563.3793103448276
663,boxer,annoying,720.03125
664,boxer,gloves,658.09375
665,boxing,gloves,655.90625
666,boxing,kind,736.8064516129032
667,boy,george,848.7916666666666
668,boy,sympathy,866.4333333333333
669,boyfriend,girlfriend,681.7741935483871
670,boyfriend,innocent,749.0322580645161
671,bracelet,girl,625.9
672,bracelet,polite,688.84375
673,braces,stage,716.53125
674,braces,young,603.6875
675,brain,caring,763.9310344827586
676,brain,cell,635.5666666666667
677,brake,bird,681.90625
678,brake,go,618.96875
679,branch,leaf,578.8125
680,branch,pickles,695.3103448275862
681,brand,call,578.9655172413793
682,brand,kind,619.1515151515151
683,brandy,explosion,730.4848484848485
684,brandy,gin,692.9565217391304
685,brat,speak,612.96875
686,brat,spoiled,698.1612903225806
687,bravado,great,643.5757575757576
688,bravado,peak,635.3870967741935
689,brave,indian,734.28125
690,brave,top,622.3125
691,bravery,bum,784.5
692,bravery,scare,737.1724137931035
693,break,nature,765.3870967741935
694,break,smash,629.3125
695,breakable,indian,790.25
696,breakable,item,621.0
697,breakfast,cereal,671.3125
698,breakfast,queen,685.0645161290323
699,breast,chest,698.34375
700,breast,elect,813.64
701,breath,deep,609.0
702,breath,job,563.3225806451613
703,breathe,exhale,760.5625
704,breathe,knowledge,778.741935483871
705,breed,diary,675.625
706,breed,dog,549.7931034482758
707,breeze,tent,689.3333333333334
708,breeze,wind,579.9
709,breezeway,grow,720.9666666666667
710,breezeway,walkway,670.1875
711,brick,lawsuit,743.4516129032259
712,brick,layer,692.6153846153846
713,bridge,nice,672.71875
714,bridge,span,782.8695652173913
715,bring,answer,651.4193548387096
716,bring,get,630.7333333333333
717,bristle,brush,741.7096774193549
718,bristle,sound,652.6774193548387
719,britannica,britain,985.4814814814816
720,britannica,france,760.7096774193549
721,brittle,board,658.3333333333334
722,brittle,peanut,672.1612903225806
723,broad,surgery,650.71875
724,broad,wide,580.09375
725,broccoli,gift,629.1612903225806
726,broccoli,spinach,857.2258064516129
727,broil,bake,613.1875
728,broil,instrument,647.6
729,broken,fix,661.6896551724138
730,broken,luggage,689.8965517241379
731,brook,queen,636.5454545454545
732,brook,stream,663.6666666666666
733,broom,brush,618.46875
734,broom,muscle,653.1034482758621
735,brother,appear,671.2068965517242
736,brother,mother,628.6451612903226
737,brown,color,689.0
738,brown,song,670.9677419354839
739,bruise,knee,643.6206896551724
740,bruise,worker,630.1290322580645
741,brunette,blonde,652.9354838709677
742,brunette,english,692.7586206896551
743,brush,male,601.0
744,brush,touch,640.0625
745,bubble,chaos,729.7407407407408
746,bubble,gum,691.28125
747,buck,dollar,680.7272727272727
748,buck,gain,648.6896551724138
749,buckle,seatbelt,668.6
750,buckle,temperature,669.5
751,bud,candy,687.8387096774194
752,bud,roses,734.2258064516129
753,budget,plan,549.125
754,budget,potato,707.46875
755,buffalo,guitar,771.0
756,buffalo,plain,698.7333333333333
757,bug,guilty,775.6666666666666
758,bug,spider,773.28125
759,bugle,horn,743.4333333333333
760,bugle,tornado,774.258064516129
761,builder,constructio,754.15625
762,builder,okay,580.258064516129
763,building,normal,619.6666666666666
764,building,tall,600.8
765,bullet,newton,879.1
766,bullet,proof,714.6
767,bulletin,board,560.40625
768,bulletin,stage,679.3548387096774
769,bullock,actress,747.5333333333333
770,bullock,rare,680.1612903225806
771,bully,rough,668.9032258064516
772,bully,russia,785.8214285714286
773,bumps,give,640.7741935483871
774,bumps,goose,623.2903225806451
775,burden,load,636.6451612903226
776,burden,prom,769.75
777,burglar,robbery,655.5151515151515
778,burglar,second,669.6451612903226
779,burglary,baseball,736.9333333333333
780,burglary,robbery,645.0322580645161
781,burial,death,629.09375
782,burial,refuse,664.2333333333333
783,burst,bubble,584.0344827586207
784,burst,gum,738.7931034482758
785,bury,bone,695.8275862068965
786,bury,electricity,845.75
787,bus,geometry,739.09375
788,bus,taxi,631.258064516129
789,bush,clue,711.3548387096774
790,bush,leaves,659.0
791,busy,bored,631.9655172413793
792,busy,taxi,645.3225806451613
793,button,doll,607.9285714285714
794,button,push,610.448275862069
795,buy,dusk,784.56
796,buy,sell,605.4666666666667
797,buyer,organize,676.4375
798,buyer,seller,747.1290322580645
799,buzz,ring,670.4
800,buzz,service,697.1290322580645
801,cab,geometry,773.6969696969697
802,cab,taxi,603.6333333333333
803,cabbage,peanut,643.5666666666667
804,cabbage,vegetable,664.0645161290323
805,cabin,family,565.5333333333333
806,cabin,log,571.1212121212121
807,cabinet,kitchen,588.375
808,cabinet,push,630.4848484848485
809,caboose,minute,652.34375
810,caboose,tail,621.2333333333333
811,cactus,scare,756.3125
812,cactus,spine,680.2
813,cafe,careful,779.4193548387096
814,cafe,dinner,604.8333333333334
815,caffeine,coffee,591.6451612903226
816,caffeine,pickles,726.2
817,cage,wide,636.516129032258
818,cage,wire,589.28125
819,cake,bake,684.8125
820,cake,cans,759.4285714285714
821,calculator,math,580.875
822,calculator,rip,844.1111111111111
823,calendar,cat,576.9354838709677
824,calendar,date,599.625
825,call,adolescent,748.3548387096774
826,call,yell,625.3125
827,calories,few,595.4666666666667
828,calories,sharp,726.5625
829,camel,coffee,652.6896551724138
830,camel,egypt,663.2413793103449
831,camera,clay,667.0666666666667
832,camera,picture,566.25
833,camp,ground,582.4516129032259
834,camp,hound,735.7857142857143
835,camping,four,621.0370370370371
836,camping,tent,682.741935483871
837,can,coke,635.78125
838,can,morning,679.7272727272727
839,canal,hurricane,707.1666666666666
840,canal,stream,771.5
841,candidate,bed,575.9666666666667
842,candidate,president,664.2258064516129
843,candy,allow,627.3
844,candy,gum,622.4375
845,cane,dill,944.190476190476
846,cane,sugar,689.9333333333333
847,canvas,award,634.9354838709677
848,canvas,shoes,622.5454545454545
849,canvass,failure,661.0
850,canvass,painting,764.1612903225806
851,canyon,electric,814.516129032258
852,canyon,grand,693.8064516129032
853,cap,dish,695.0
854,cap,hat,681.8387096774194
855,capability,ability,711.21875
856,capability,winter,620.125
857,capacity,erupt,884.2758620689655
858,capacity,full,645.1935483870968
859,cape,ambulance,827.2258064516129
860,cape,coral,756.125
861,captain,boss,659.9629629629629
862,captain,nephew,706.1666666666666
863,caption,best,602.3333333333334
864,caption,closed,630.6969696969697
865,captive,candy,679.15625
866,captive,prisoner,726.8333333333334
867,capture,busy,710.0666666666667
868,capture,kidnap,704.5
869,car,auto,667.53125
870,car,salad,777.2
871,caravan,desert,698.3939393939394
872,caravan,obstacle,695.8620689655172
873,carbon,atom,673.516129032258
874,carbon,murder,599.0
875,cardboard,space,610.2258064516129
876,cardboard,stiff,723.8214285714286
877,cardinal,rule,579.2121212121212
878,cardinal,tail,679.6969696969697
879,cards,bass,660.6551724137931
880,cards,poker,621.258064516129
881,career,goal,592.7
882,career,pepsi,952.8888888888888
883,careful,cautious,815.8620689655172
884,careful,ceremony,706.4193548387096
885,careless,disc,759.32
886,careless,messy,743.0357142857143
887,caress,purple,671.53125
888,caress,soft,763.3548387096774
889,caring,loving,572.9666666666667
890,caring,neat,635.84
891,carnival,party,644.5333333333333
892,carnival,toothbrush,733.375
893,carpenter,hammer,725.5806451612904
894,carpenter,push,603.7586206896551
895,carpet,mountains,713.3793103448276
896,carpet,rug,619.59375
897,carrot,elephant,721.8787878787879
898,carrot,rabbit,642.4545454545455
899,carton,box,672.0625
900,carton,spinach,795.2
901,case,court,611.0666666666667
902,case,lid,711.7241379310345
903,cashew,nut,636.516129032258
904,cashew,sword,626.3225806451613
905,castle,sand,622.4848484848485
